1.01,5,{'TP': 4, 'FP': 27, 'FN': 246},0.016,0.12903225806451613,0.028469750889679714
1.01,10,{'TP': 3, 'FP': 11, 'FN': 247},0.012,0.21428571428571427,0.022727272727272728
1.01,15,{'TP': 2, 'FP': 6, 'FN': 248},0.008,0.25,0.015503875968992248
1.03,5,{'TP': 2, 'FP': 12, 'FN': 248},0.008,0.14285714285714285,0.01515151515151515
1.03,10,{'TP': 2, 'FP': 1, 'FN': 248},0.008,0.6666666666666666,0.015810276679841896
1.03,15,{'TP': 1, 'FP': 0, 'FN': 249},0.004,1.0,0.00796812749003984
1.05,5,{'TP': 2, 'FP': 5, 'FN': 248},0.008,0.2857142857142857,0.015564202334630349
1.05,10,{'TP': 1, 'FP': 0, 'FN': 249},0.004,1.0,0.00796812749003984
1.05,15,{'TP': 0, 'FP': 0, 'FN': 250},0.0,0,0
1.07,5,{'TP': 2, 'FP': 2, 'FN': 248},0.008,0.5,0.015748031496062992
1.07,10,{'TP': 1, 'FP': 0, 'FN': 249},0.004,1.0,0.00796812749003984
1.07,15,{'TP': 0, 'FP': 0, 'FN': 250},0.0,0,0
